2017-11-01T08:40:28.498034 tid8492 [IFO,App] Found plugin org.micromanager.splitview.SplitView@29949f78
2017-11-01T08:40:28.499035 tid8492 [IFO,App] Found plugin PMQI.AutoWB@24d37b87
2017-11-01T08:40:28.499035 tid8492 [IFO,App] Found plugin org.micromanager.zprojector.ZProjectorPlugin@4cc5f20f
2017-11-01T08:40:28.499035 tid8492 [IFO,App] Searching for plugins in C:\Micro-Manager-2.0beta_scanner/mmautofocus
2017-11-01T08:40:28.528056 tid8492 [IFO,App] Found plugin org.micromanager.autofocus.HardwareFocusExtender@4eb3c24f
2017-11-01T08:40:28.533060 tid8492 [IFO,App] Found plugin org.micromanager.autofocus.Autofocus@628d2280
2017-11-01T08:40:28.534060 tid8492 [IFO,App] Found plugin org.micromanager.autofocus.AutofocusDuo@12381a9c
2017-11-01T08:40:28.536062 tid8492 [IFO,App] Found plugin org.micromanager.autofocus.AutofocusTB@3622e177
2017-11-01T08:40:28.539064 tid8492 [IFO,App] Found plugin org.micromanager.autofocus.OughtaFocus@16916f80
2017-11-01T08:40:28.541065 tid8492 [IFO,App] Searching for plugins in class loader
2017-11-01T08:40:28.699179 tid8492 [IFO,App] Found plugin edu.ucsf.slidescanner.plugin.SlideScan@63a0eec3
2017-11-01T08:40:28.699179 tid8492 [IFO,App] Found plugin org.micromanager.acquisition.internal.DefaultMDAPlugin@14b5d05b
2017-11-01T08:40:28.699179 tid8492 [IFO,App] Found plugin org.micromanager.display.internal.gearmenu.ExportImagesItem@2c8210fc
2017-11-01T08:40:28.699179 tid8492 [IFO,App] Found plugin org.micromanager.display.internal.gearmenu.LineProfileItem@f292738
2017-11-01T08:40:28.699179 tid8492 [IFO,App] Found plugin org.micromanager.display.internal.inspector.OverlaysPlugin@56cdd54e
2017-11-01T08:40:28.699179 tid8492 [IFO,App] Found plugin org.micromanager.display.internal.overlays.ScaleBarPlugin@636f2067
2017-11-01T08:40:28.699179 tid8492 [IFO,App] Found plugin org.micromanager.display.internal.overlays.TimestampPlugin@14b87d31
2017-11-01T08:40:28.699179 tid8492 [IFO,App] Found plugin org.micromanager.quickaccess.internal.controls.AutofocusButtons@7bab2c3
2017-11-01T08:40:28.699179 tid8492 [IFO,App] Found plugin org.micromanager.quickaccess.internal.controls.CloseAllButton@722e242b
2017-11-01T08:40:28.700180 tid8492 [IFO,App] Found plugin org.micromanager.quickaccess.internal.controls.ExposureTime@3348bd9d
2017-11-01T08:40:28.700180 tid8492 [IFO,App] Found plugin org.micromanager.quickaccess.internal.controls.LiveButton@6c98a8b8
2017-11-01T08:40:28.700180 tid8492 [IFO,App] Found plugin org.micromanager.quickaccess.internal.controls.MDAButtons@1a6cffbb
2017-11-01T08:40:28.700180 tid8492 [IFO,App] Found plugin org.micromanager.quickaccess.internal.controls.PresetButton@6a095b8a
2017-11-01T08:40:28.700180 tid8492 [IFO,App] Found plugin org.micromanager.quickaccess.internal.controls.RefreshButton@24db14d4
2017-11-01T08:40:28.700180 tid8492 [IFO,App] Found plugin org.micromanager.quickaccess.internal.controls.SavedMDAButton@2b347d33
2017-11-01T08:40:28.700180 tid8492 [IFO,App] Found plugin org.micromanager.quickaccess.internal.controls.ScriptButton@307b56e
2017-11-01T08:40:28.700180 tid8492 [IFO,App] Found plugin org.micromanager.quickaccess.internal.controls.ShutterControl@6f184a4f
2017-11-01T08:40:28.700180 tid8492 [IFO,App] Found plugin org.micromanager.quickaccess.internal.controls.SnapButton@23b6c184
2017-11-01T08:40:28.700180 tid8492 [IFO,App] Found plugin org.micromanager.quickaccess.internal.controls.TextLabel@335ad36d
2017-11-01T08:40:28.700180 tid8492 [IFO,App] Plugin loading took 590ms
2017-11-01T08:40:33.877897 tid8812 [IFO,App] Finished waiting for plugins to load
2017-11-01T08:40:35.449547 tid8812 [IFO,Core] Did unload all devices
2017-11-01T08:40:35.449547 tid8812 [IFO,Core] Did load device COM3 from SerialManager; label = COM3
2017-11-01T08:40:35.465172 tid8812 [IFO,Core] Did load device FreeSerialPort from FreeSerialPort; label = FreeSerialPort
2017-11-01T08:40:35.468066 tid8812 [WRN,Core:dev:Camera-1] Requested device named "Camera-1" but the actual device is named ""
2017-11-01T08:40:35.468066 tid8812 [IFO,Core] Did load device Camera-1 from PVCAM; label = Camera-1
2017-11-01T08:40:35.468066 tid8812 [IFO,Core] Will initialize 3 devices
2017-11-01T08:40:35.468066 tid8812 [IFO,Core] Will initialize device COM3
2017-11-01T08:40:35.477072 tid8812 [IFO,Core] Did initialize device COM3
2017-11-01T08:40:35.477072 tid8812 [IFO,Core] Will initialize device FreeSerialPort
2017-11-01T08:40:35.477072 tid8812 [IFO,Core] Did initialize device FreeSerialPort
2017-11-01T08:40:35.477072 tid8812 [IFO,Core] Will initialize device Camera-1
2017-11-01T08:40:35.682219 tid8812 [IFO,dev:Camera-1] [PVCAM] ERR: pl_get_param for PARAM_FRAME_BUFFER_SIZE ATTR_CURRENT failed, pvErr:49, pvMsg:'Camera has not been configured for acquisition (C0_ACQ_NOT_CONFIGURED)' [PVCAMUniversal.cpp(299)]
2017-11-01T08:40:35.696229 tid8812 [IFO,dev:Camera-1] Device adapter requests invalid values ( 0, 0) for property: CircularBufferFrameCount
2017-11-01T08:40:36.520821 tid8812 [IFO,dev:Camera-1] Device adapter requests invalid values ( 0, 0) for property: CircularBufferFrameCount
2017-11-01T08:40:36.582866 tid8812 [IFO,Core] Did initialize device Camera-1
2017-11-01T08:40:36.582866 tid8812 [IFO,Core] Default camera set to Camera-1
2017-11-01T08:40:36.582866 tid8812 [IFO,Core] Finished initializing 3 devices
2017-11-01T08:40:36.582866 tid8812 [IFO,Core] Default camera set to Camera-1
2017-11-01T08:40:36.584867 tid8812 [IFO,Core] Did update system state cache
2017-11-01T08:40:37.426472 tid8812 [IFO,App] Rebuilding config group table
