2017-11-27T09:32:00.912170 tid5168 [IFO,LogManager] Enabled primary log file C:\Micro-Manager-2.0beta_scanner\CoreLogs\CoreLog20171127T093200_pid908.txt
2017-11-27T09:32:00.927796 tid5168 [IFO,App] User: Scanner.User
2017-11-27T09:32:00.927796 tid5168 [IFO,App] Host: DESKTOP-S4KVGR5
2017-11-27T09:32:00.927796 tid5168 [IFO,App] MM Studio version: 2.0.0-beta3 20170704
2017-11-27T09:32:00.927796 tid5168 [IFO,App] MMCore version 8.5.0
2017-11-27T09:32:00.927796 tid5168 [IFO,App] Device API version 67, Module API version 10
2017-11-27T09:32:00.927796 tid5168 [IFO,App] Operating System: Windows NT (unknown) (amd64) 6.2
2017-11-27T09:32:00.927796 tid5168 [IFO,App] JVM: Java HotSpot(TM) 64-Bit Server VM, version 1.6.0_31, 64-bit
2017-11-27T09:32:00.927796 tid5168 [IFO,App] EDTHangLogger: Started monitoring of EDT hangs
                                   [       ] [heartbeat timeout = 4500 ms, hang check interval = 1000 ms]
2017-11-27T09:32:01.052797 tid4400 [IFO,App] Searching for plugins in C:\Micro-Manager-2.0beta_scanner/mmplugins
2017-11-27T09:32:01.255925 tid4400 [IFO,App] Found plugin org.micromanager.acquiremultipleregions.AcquireMultipleRegions@7979a49f
2017-11-27T09:32:01.255925 tid4400 [IFO,App] Found plugin org.micromanager.asidispim.ASIdiSPIM@2e694f12
2017-11-27T09:32:01.255925 tid4400 [IFO,App] Found plugin ch.epfl.leb.autolase.AutoLasePlugin@5c2bfdff
2017-11-27T09:32:01.255925 tid4400 [IFO,App] Found plugin org.micromanager.CRISP.CRISP@4c309f9f
2017-11-27T09:32:01.271550 tid4400 [IFO,App] Found plugin com.asiimaging.CRISPv2.ASI_CRISP_V2@1d417690
2017-11-27T09:32:01.271550 tid4400 [IFO,App] Found plugin org.micromanager.duplicator.DuplicatorPlugin@7fb6634c
2017-11-27T09:32:01.271550 tid4400 [IFO,App] Found plugin org.micromanager.plugins.framecombiner.FrameCombinerPlugin@31304043
2017-11-27T09:32:01.271550 tid4400 [IFO,App] Found plugin GaussianTrack_@56cb07ef
2017-11-27T09:32:01.271550 tid4400 [IFO,App] Found plugin org.micromanager.hcs.HCSPlugin@5e6ffd79
