2017-11-29T09:15:15.274310 tid4968 [IFO,LogManager] Enabled primary log file C:\Micro-Manager-2.0beta_scanner\CoreLogs\CoreLog20171129T091515_pid5336.txt
2017-11-29T09:15:15.289934 tid4968 [IFO,App] User: Scanner.User
2017-11-29T09:15:15.289934 tid4968 [IFO,App] Host: DESKTOP-S4KVGR5
2017-11-29T09:15:15.289934 tid4968 [IFO,App] MM Studio version: 2.0.0-beta3 20170704
2017-11-29T09:15:15.289934 tid4968 [IFO,App] MMCore version 8.5.0
2017-11-29T09:15:15.289934 tid4968 [IFO,App] Device API version 67, Module API version 10
2017-11-29T09:15:15.289934 tid4968 [IFO,App] Operating System: Windows NT (unknown) (amd64) 6.2
2017-11-29T09:15:15.289934 tid4968 [IFO,App] JVM: Java HotSpot(TM) 64-Bit Server VM, version 1.6.0_31, 64-bit
2017-11-29T09:15:15.289934 tid4968 [IFO,App] EDTHangLogger: Started monitoring of EDT hangs
                                   [       ] [heartbeat timeout = 4500 ms, hang check interval = 1000 ms]
2017-11-29T09:15:15.414935 tid5956 [IFO,App] Searching for plugins in C:\Micro-Manager-2.0beta_scanner/mmplugins
2017-11-29T09:15:17.821214 tid5956 [IFO,App] Found plugin org.micromanager.acquiremultipleregions.AcquireMultipleRegions@41ed54a0
2017-11-29T09:15:17.821214 tid5956 [IFO,App] Found plugin org.micromanager.asidispim.ASIdiSPIM@144f3ba2
2017-11-29T09:15:17.821214 tid5956 [IFO,App] Found plugin ch.epfl.leb.autolase.AutoLasePlugin@6360f5bf
2017-11-29T09:15:17.821214 tid5956 [IFO,App] Found plugin org.micromanager.CRISP.CRISP@72a60191
2017-11-29T09:15:17.821214 tid5956 [IFO,App] Found plugin com.asiimaging.CRISPv2.ASI_CRISP_V2@78ecf608
2017-11-29T09:15:17.821214 tid5956 [IFO,App] Found plugin org.micromanager.duplicator.DuplicatorPlugin@41697023
2017-11-29T09:15:17.821214 tid5956 [IFO,App] Found plugin org.micromanager.plugins.framecombiner.FrameCombinerPlugin@442982d8
2017-11-29T09:15:17.821214 tid5956 [IFO,App] Found plugin GaussianTrack_@14d55de
2017-11-29T09:15:17.821214 tid5956 [IFO,App] Found plugin org.micromanager.hcs.HCSPlugin@594560cf
2017-11-29T09:15:17.821214 tid5956 [IFO,App] Found plugin org.micromanager.imageflipper.FlipperPlugin@2b071e12
2017-11-29T09:15:17.821214 tid5956 [IFO,App] Found plugin org.micromanager.intelligentacquisition.IntelligentAcquisition@604745cf
2017-11-29T09:15:17.821214 tid5956 [IFO,App] Found plugin com.imaging100x.tracker.TrackerPlugin@67384a6a
2017-11-29T09:15:17.821214 tid5956 [IFO,App] Found plugin org.micromanager.multicamera.MultiCamera@209daa17
2017-11-29T09:15:17.821214 tid5956 [IFO,App] Found plugin org.micromanager.multichannelshading.MultiChannelShading@4f09dcbb
2017-11-29T09:15:17.821214 tid5956 [IFO,App] Found plugin org.micromanager.patternoverlay.PatternOverlayPlugin@6302ae84
2017-11-29T09:15:17.821214 tid5956 [IFO,App] Found plugin edu.umassmed.pgfocus.pgFocus@6e3e28
2017-11-29T09:15:17.821214 tid5956 [IFO,App] Found plugin org.micromanager.pipelinesaver.SaverPlugin@45b2b450
2017-11-29T09:15:17.821214 tid5956 [IFO,App] Found plugin org.micromanager.pixelcalibrator.PixelCalibratorPlugin@575c13ef
2017-11-29T09:15:17.821214 tid5956 [IFO,App] Found plugin org.micromanager.projector.ProjectorPlugin@5e20dcb7
2017-11-29T09:15:17.821214 tid5956 [IFO,App] Found plugin org.micromanager.recall.RecallPlugin@c4ce427
2017-11-29T09:15:17.821214 tid5956 [IFO,App] Found plugin org.micromanager.plugins.sequencebuffermonitor.SequenceBufferMonitor@c16c2c0
2017-11-29T09:15:17.821214 tid5956 [IFO,App] Found plugin org.micromanager.slideexplorer.SlideExplorerPlugin@2a4bd173
2017-11-29T09:15:17.821214 tid5956 [IFO,App] Found plugin org.micromanager.acquisition.internal.DefaultMDAPlugin@57a3eab6
2017-11-29T09:15:17.821214 tid5956 [IFO,App] Found plugin org.micromanager.display.internal.gearmenu.ExportImagesItem@4a867fad
2017-11-29T09:15:17.821214 tid5956 [IFO,App] Found plugin org.micromanager.display.internal.gearmenu.LineProfileItem@44285d14
2017-11-29T09:15:17.821214 tid5956 [IFO,App] Found plugin org.micromanager.display.internal.inspector.OverlaysPlugin@218c6982
2017-11-29T09:15:17.821214 tid5956 [IFO,App] Found plugin org.micromanager.display.internal.overlays.ScaleBarPlugin@962e703
2017-11-29T09:15:17.821214 tid5956 [IFO,App] Found plugin org.micromanager.display.internal.overlays.TimestampPlugin@3c2c7ac5
2017-11-29T09:15:17.821214 tid5956 [IFO,App] Found plugin org.micromanager.quickaccess.internal.controls.AutofocusButtons@347b21ea
2017-11-29T09:15:17.821214 tid5956 [IFO,App] Found plugin org.micromanager.quickaccess.internal.controls.CloseAllButton@7fefa490
2017-11-29T09:15:17.836839 tid5956 [IFO,App] Found plugin org.micromanager.quickaccess.internal.controls.ExposureTime@5d169fb2
2017-11-29T09:15:17.836839 tid5956 [IFO,App] Found plugin org.micromanager.quickaccess.internal.controls.LiveButton@6d854b38
2017-11-29T09:15:17.836839 tid5956 [IFO,App] Found plugin org.micromanager.quickaccess.internal.controls.MDAButtons@7c4f8358
2017-11-29T09:15:17.836839 tid5956 [IFO,App] Found plugin org.micromanager.quickaccess.internal.controls.PresetButton@66869470
2017-11-29T09:15:17.836839 tid5956 [IFO,App] Found plugin org.micromanager.quickaccess.internal.controls.RefreshButton@d7b79a6
2017-11-29T09:15:17.836839 tid5956 [IFO,App] Found plugin org.micromanager.quickaccess.internal.controls.SavedMDAButton@3d57211f
2017-11-29T09:15:17.836839 tid5956 [IFO,App] Found plugin org.micromanager.quickaccess.internal.controls.ScriptButton@2482c23d
2017-11-29T09:15:17.836839 tid5956 [IFO,App] Found plugin org.micromanager.quickaccess.internal.controls.ShutterControl@49e4585
2017-11-29T09:15:17.836839 tid5956 [IFO,App] Found plugin org.micromanager.quickaccess.internal.controls.SnapButton@228917a2
2017-11-29T09:15:17.836839 tid5956 [IFO,App] Found plugin org.micromanager.quickaccess.internal.controls.TextLabel@566e9e64
2017-11-29T09:15:17.836839 tid5956 [IFO,App] Found plugin org.micromanager.plugins.snaponmove.SnapOnMovePlugin@7860e390
2017-11-29T09:15:17.836839 tid5956 [IFO,App] Found plugin org.micromanager.splitview.SplitView@20fc40ae
2017-11-29T09:15:17.836839 tid5956 [IFO,App] Found plugin PMQI.AutoWB@10fa706d
2017-11-29T09:15:17.836839 tid5956 [IFO,App] Found plugin org.micromanager.zprojector.ZProjectorPlugin@29eb0cd0
2017-11-29T09:15:17.836839 tid5956 [IFO,App] Searching for plugins in C:\Micro-Manager-2.0beta_scanner/mmautofocus
2017-11-29T09:15:18.008715 tid5956 [IFO,App] Found plugin org.micromanager.autofocus.HardwareFocusExtender@904eabb
2017-11-29T09:15:18.008715 tid5956 [IFO,App] Found plugin org.micromanager.autofocus.Autofocus@36e3fd79
2017-11-29T09:15:18.008715 tid5956 [IFO,App] Found plugin org.micromanager.autofocus.AutofocusDuo@4e6d670a
2017-11-29T09:15:18.008715 tid5956 [IFO,App] Found plugin org.micromanager.autofocus.AutofocusTB@6b033450
2017-11-29T09:15:18.024341 tid5956 [IFO,App] Found plugin org.micromanager.autofocus.OughtaFocus@29f2588
2017-11-29T09:15:18.024341 tid5956 [IFO,App] Searching for plugins in class loader
2017-11-29T09:15:18.164968 tid5956 [IFO,App] Found plugin edu.ucsf.slidescanner.plugin.SlideScan@3ab6f7f5
2017-11-29T09:15:18.164968 tid5956 [IFO,App] Found plugin org.micromanager.acquisition.internal.DefaultMDAPlugin@425113f0
2017-11-29T09:15:18.164968 tid5956 [IFO,App] Found plugin org.micromanager.display.internal.gearmenu.ExportImagesItem@58f41393
2017-11-29T09:15:18.164968 tid5956 [IFO,App] Found plugin org.micromanager.display.internal.gearmenu.LineProfileItem@314585
2017-11-29T09:15:18.164968 tid5956 [IFO,App] Found plugin org.micromanager.display.internal.inspector.OverlaysPlugin@22cb1edc
2017-11-29T09:15:18.164968 tid5956 [IFO,App] Found plugin org.micromanager.display.internal.overlays.ScaleBarPlugin@45570f5c
2017-11-29T09:15:18.164968 tid5956 [IFO,App] Found plugin org.micromanager.display.internal.overlays.TimestampPlugin@56b18494
2017-11-29T09:15:18.164968 tid5956 [IFO,App] Found plugin org.micromanager.quickaccess.internal.controls.AutofocusButtons@20773d03
2017-11-29T09:15:18.164968 tid5956 [IFO,App] Found plugin org.micromanager.quickaccess.internal.controls.CloseAllButton@7446a09b
