2020-05-06T10:17:27.144621 tid4452 [IFO,LogManager] Enabled primary log file C:\Micro-Manager-2.0beta_scanner\CoreLogs\CoreLog20200506T101727_pid4952.txt
2020-05-06T10:17:27.145122 tid4452 [IFO,App] User: Scanner.User
2020-05-06T10:17:27.145622 tid4452 [IFO,App] Host: DESKTOP-S4KVGR5
2020-05-06T10:17:27.145622 tid4452 [IFO,App] MM Studio version: 2.0.0-beta3 20170704
2020-05-06T10:17:27.145622 tid4452 [IFO,App] MMCore version 8.5.0
2020-05-06T10:17:27.145622 tid4452 [IFO,App] Device API version 67, Module API version 10
2020-05-06T10:17:27.145622 tid4452 [IFO,App] Operating System: Windows NT (unknown) (amd64) 6.2
2020-05-06T10:17:27.145622 tid4452 [IFO,App] JVM: Java HotSpot(TM) 64-Bit Server VM, version 1.6.0_31, 64-bit
2020-05-06T10:17:27.149624 tid4452 [IFO,App] EDTHangLogger: Started monitoring of EDT hangs
                                   [       ] [heartbeat timeout = 4500 ms, hang check interval = 1000 ms]
2020-05-06T10:17:27.307236 tid5700 [IFO,App] Searching for plugins in C:\Micro-Manager-2.0beta_scanner/mmplugins
2020-05-06T10:17:31.074391 tid5700 [IFO,App] Found plugin org.micromanager.acquiremultipleregions.AcquireMultipleRegions@32eccfe7
2020-05-06T10:17:31.074391 tid5700 [IFO,App] Found plugin org.micromanager.asidispim.ASIdiSPIM@6302ae84
2020-05-06T10:17:31.074391 tid5700 [IFO,App] Found plugin ch.epfl.leb.autolase.AutoLasePlugin@45b2b450
2020-05-06T10:17:31.074391 tid5700 [IFO,App] Found plugin org.micromanager.CRISP.CRISP@575c13ef
2020-05-06T10:17:31.074391 tid5700 [IFO,App] Found plugin com.asiimaging.CRISPv2.ASI_CRISP_V2@3f7aa2a8
2020-05-06T10:17:31.074391 tid5700 [IFO,App] Found plugin org.micromanager.duplicator.DuplicatorPlugin@c16c2c0
2020-05-06T10:17:31.074391 tid5700 [IFO,App] Found plugin org.micromanager.plugins.framecombiner.FrameCombinerPlugin@4a867fad
2020-05-06T10:17:31.074391 tid5700 [IFO,App] Found plugin GaussianTrack_@44285d14
2020-05-06T10:17:31.074391 tid5700 [IFO,App] Found plugin org.micromanager.hcs.HCSPlugin@962e703
2020-05-06T10:17:31.074391 tid5700 [IFO,App] Found plugin org.micromanager.imageflipper.FlipperPlugin@c303a60
2020-05-06T10:17:31.074391 tid5700 [IFO,App] Found plugin org.micromanager.intelligentacquisition.IntelligentAcquisition@32487ae0
2020-05-06T10:17:31.074391 tid5700 [IFO,App] Found plugin com.imaging100x.tracker.TrackerPlugin@347b21ea
2020-05-06T10:17:31.074391 tid5700 [IFO,App] Found plugin org.micromanager.multicamera.MultiCamera@7fefa490
2020-05-06T10:17:31.074391 tid5700 [IFO,App] Found plugin org.micromanager.multichannelshading.MultiChannelShading@4e1d2b8e
2020-05-06T10:17:31.074391 tid5700 [IFO,App] Found plugin org.micromanager.patternoverlay.PatternOverlayPlugin@784e8edc
2020-05-06T10:17:31.074391 tid5700 [IFO,App] Found plugin edu.umassmed.pgfocus.pgFocus@4a0d81b4
2020-05-06T10:17:31.074391 tid5700 [IFO,App] Found plugin org.micromanager.pipelinesaver.SaverPlugin@3cbe7667
2020-05-06T10:17:31.074391 tid5700 [IFO,App] Found plugin org.micromanager.pixelcalibrator.PixelCalibratorPlugin@7c4f8358
2020-05-06T10:17:31.074391 tid5700 [IFO,App] Found plugin org.micromanager.projector.ProjectorPlugin@4838462a
2020-05-06T10:17:31.074391 tid5700 [IFO,App] Found plugin org.micromanager.recall.RecallPlugin@d7b79a6
2020-05-06T10:17:31.074391 tid5700 [IFO,App] Found plugin org.micromanager.plugins.sequencebuffermonitor.SequenceBufferMonitor@256f8834
2020-05-06T10:17:31.074391 tid5700 [IFO,App] Found plugin org.micromanager.slideexplorer.SlideExplorerPlugin@3d57211f
2020-05-06T10:17:31.074391 tid5700 [IFO,App] Found plugin org.micromanager.acquisition.internal.DefaultMDAPlugin@233f99af
2020-05-06T10:17:31.074391 tid5700 [IFO,App] Found plugin org.micromanager.display.internal.gearmenu.ExportImagesItem@2482c23d
2020-05-06T10:17:31.074391 tid5700 [IFO,App] Found plugin org.micromanager.display.internal.gearmenu.LineProfileItem@49e4585
2020-05-06T10:17:31.074391 tid5700 [IFO,App] Found plugin org.micromanager.display.internal.inspector.OverlaysPlugin@566e9e64
2020-05-06T10:17:31.074391 tid5700 [IFO,App] Found plugin org.micromanager.display.internal.overlays.ScaleBarPlugin@7860e390
2020-05-06T10:17:31.074391 tid5700 [IFO,App] Found plugin org.micromanager.display.internal.overlays.TimestampPlugin@20fc40ae
2020-05-06T10:17:31.090016 tid5700 [IFO,App] Found plugin org.micromanager.quickaccess.internal.controls.AutofocusButtons@6964130
2020-05-06T10:17:31.090016 tid5700 [IFO,App] Found plugin org.micromanager.quickaccess.internal.controls.CloseAllButton@7291b9b0
2020-05-06T10:17:31.090016 tid5700 [IFO,App] Found plugin org.micromanager.quickaccess.internal.controls.ExposureTime@2773a64a
2020-05-06T10:17:31.090016 tid5700 [IFO,App] Found plugin org.micromanager.quickaccess.internal.controls.LiveButton@7e98cbf7
2020-05-06T10:17:31.090016 tid5700 [IFO,App] Found plugin org.micromanager.quickaccess.internal.controls.MDAButtons@45c81ac0
2020-05-06T10:17:31.090016 tid5700 [IFO,App] Found plugin org.micromanager.quickaccess.internal.controls.PresetButton@6d1e7cc6
2020-05-06T10:17:31.090016 tid5700 [IFO,App] Found plugin org.micromanager.quickaccess.internal.controls.RefreshButton@6c91e321
2020-05-06T10:17:31.090016 tid5700 [IFO,App] Found plugin org.micromanager.quickaccess.internal.controls.SavedMDAButton@3eaa3e5b
2020-05-06T10:17:31.090016 tid5700 [IFO,App] Found plugin org.micromanager.quickaccess.internal.controls.ScriptButton@68b57af1
2020-05-06T10:17:31.090016 tid5700 [IFO,App] Found plugin org.micromanager.quickaccess.internal.controls.ShutterControl@629a99eb
2020-05-06T10:17:31.090016 tid5700 [IFO,App] Found plugin org.micromanager.quickaccess.internal.controls.SnapButton@41d47f59
2020-05-06T10:17:31.090016 tid5700 [IFO,App] Found plugin org.micromanager.quickaccess.internal.controls.TextLabel@65f4cdd2
2020-05-06T10:17:31.090016 tid5700 [IFO,App] Found plugin org.micromanager.plugins.snaponmove.SnapOnMovePlugin@2af4ca49
2020-05-06T10:17:31.090016 tid5700 [IFO,App] Found plugin org.micromanager.splitview.SplitView@2d0c94a7
2020-05-06T10:17:31.090016 tid5700 [IFO,App] Found plugin PMQI.AutoWB@14f3770c
2020-05-06T10:17:31.090016 tid5700 [IFO,App] Found plugin org.micromanager.zprojector.ZProjectorPlugin@7c0cbf92
2020-05-06T10:17:31.090016 tid5700 [IFO,App] Searching for plugins in C:\Micro-Manager-2.0beta_scanner/mmautofocus
2020-05-06T10:17:31.418145 tid5700 [IFO,App] Found plugin org.micromanager.autofocus.HardwareFocusExtender@4f786b98
2020-05-06T10:17:31.418145 tid5700 [IFO,App] Found plugin org.micromanager.autofocus.Autofocus@127f2261
2020-05-06T10:17:31.418145 tid5700 [IFO,App] Found plugin org.micromanager.autofocus.AutofocusDuo@6fe30af
2020-05-06T10:17:31.418145 tid5700 [IFO,App] Found plugin org.micromanager.autofocus.AutofocusTB@4f88f506
2020-05-06T10:17:31.418145 tid5700 [IFO,App] Found plugin org.micromanager.autofocus.OughtaFocus@35ad093c
2020-05-06T10:17:31.433770 tid5700 [IFO,App] Searching for plugins in class loader
2020-05-06T10:17:31.605649 tid5700 [IFO,App] Found plugin edu.ucsf.slidescanner.plugin.SlideScan@54c707c1
2020-05-06T10:17:31.605649 tid5700 [IFO,App] Found plugin org.micromanager.acquisition.internal.DefaultMDAPlugin@56ce3b62
